1;3907;5632;0;0
3;3853;5632;0;0
5;3875;5632;3538;5477
7;3895;5632;3590;5506
9;3887;5632;3595;5535
11;3844;5632;3553;5552
13;3844;5632;3549;5574
15;3841;5632;3541;5548
17;3861;5632;3555;5523
19;3833;5632;3491;5557
21;3841;5632;3501;5588
23;3812;5632;3460;5566
25;3781;5632;3424;5545
27;3813;5632;3465;5528
29;3830;5632;3455;5507
31;3813;5632;3473;5507
33;3818;5632;3456;5536
35;3766;5598;3441;5521
37;3832;5632;3486;5504
39;3841;5632;3506;5511
41;3832;5632;3510;5529
43;3818;5632;3509;5530
45;3829;5632;3515;5546
47;3806;5632;3482;5544
49;3818;5632;3502;5520
51;3821;5632;3470;5529
53;3829;5632;3473;5563
55;3841;5632;3470;5566
57;3818;5632;3445;5553
59;3812;5632;3441;5546
61;3855;5586;3490;5527
63;3821;5632;3459;5521
65;3829;5632;3442;5541
67;3841;5632;3480;5569
69;3829;5632;3469;5535
71;3809;5632;3490;5546
73;3818;5632;3494;5583
75;3826;5632;3518;5519
77;3838;5632;3527;5546
79;3826;5632;3519;5536
81;3826;5632;3521;5504
83;3826;5632;3482;5516
85;3826;5632;3479;5556
87;3821;5632;3472;5546
89;3810;5632;3461;5521
91;3861;5632;3507;5565
93;3830;5632;3464;5546
95;3784;5632;3444;5524
97;3838;5632;3482;5557
99;3841;5632;3494;5532
101;3841;5632;3513;5519
103;3841;5632;3520;5547
105;3844;5632;3546;5556
107;3830;5632;3547;5535
109;3838;5632;3550;5544
111;3830;5632;3533;5518
113;3858;5632;3562;5515
115;3827;5632;3478;5546
117;3832;5632;3485;5553
119;3881;5632;3505;5552
121;3841;5632;3475;5540
123;3829;5632;3464;5550
125;3832;5632;3471;5538
127;3841;5632;3491;5542
129;3824;5632;3474;5545
131;3844;5632;3493;5538
133;3841;5632;3486;5538
135;3838;5632;3525;5544
137;3844;5632;3537;5549
139;3852;5632;3545;5530
141;3850;5632;3545;5534
143;3856;5632;3552;5526
145;3861;5632;3550;5526
147;3869;5632;3516;5540
149;3861;5632;3502;5549
151;3867;5632;3501;5535
153;3884;5632;3519;5536
155;3867;5632;3506;5552
157;3873;5632;3488;5553
159;3893;5632;0;0
161;3812;5632;0;0
163;3960;5632;0;0
2;3944;5632;0;0
4;3820;5632;0;0
6;3916;5632;334;5504
8;3870;5632;319;5483
10;3875;5632;309;5510
12;3884;5632;310;5518
14;3893;5632;307;5543
16;3849;5627;306;5565
18;3849;5632;307;5544
20;3873;5632;367;5531
22;3864;5632;359;5557
24;3852;5632;374;5587
26;3855;5632;376;5564
28;3864;5632;376;5550
30;3864;5632;393;5517
32;3887;5632;0;0
34;3841;5632;360;5507
36;3818;5632;322;5515
38;3861;5632;356;5493
40;3873;5632;345;5497
42;3861;5632;335;5521
44;3852;5632;335;5524
46;3873;5632;340;5541
48;3861;5632;346;5541
50;3852;5632;327;5514
52;3852;5632;367;5518
54;3841;5632;352;5553
56;3812;5632;347;5558
58;3829;5632;363;5546
60;3850;5632;383;5547
62;3820;5632;370;5513
64;3820;5632;362;5503
66;3841;5632;382;5526
68;3818;5632;338;5557
70;3833;5632;350;5529
72;3850;5632;350;5523
74;3873;5632;348;5548
76;3861;5632;339;5494
78;3841;5632;314;5520
80;3855;5632;318;5521
82;3853;5632;313;5497
84;3832;5632;350;5492
86;3853;5632;361;5526
88;3838;5632;364;5541
90;3861;5632;369;5519
92;3832;5632;353;5570
94;3821;5632;366;5531
96;3870;5632;393;5492
98;3861;5632;387;5538
100;3872;5632;375;5528
102;3830;5632;340;5525
104;3841;5632;338;5519
106;3826;5632;310;5527
108;3824;5632;295;5511
110;3841;5632;305;5519
112;3841;5632;309;5534
114;3821;5632;296;5525
116;3853;5632;379;5520
118;3829;5632;354;5532
120;3829;5632;362;5553
122;3829;5632;366;5548
124;3841;5632;376;5560
126;3861;5632;379;5544
128;3841;5632;367;5501
130;3849;5632;380;5507
132;3861;5632;373;5513
134;3861;5632;378;5530
136;3844;5632;323;5531
138;3853;5632;313;5528
140;3856;5632;322;5505
142;3855;5632;317;5513
144;3833;5632;308;5516
146;3856;5632;311;5510
148;3861;5632;355;5526
150;3884;5632;362;5521
152;3904;5632;382;5524
154;3881;5632;376;5529
156;3852;5632;343;5545
158;3916;5624;0;0
160;3907;5632;0;0
162;3960;5632;0;0
164;3861;5632;0;0
